Month,Year,Price,,,,
5,2020,66.139999,,,,
6,2020,68.290001,,,,
7,2020,71.209999,,,,
8,2020,73.970001,,,,
9,2020,70.230003,,,,
10,2020,72.019997,,,,
11,2020,85.139999,,,,
12,2020,91.900002,,,,
1,2021,97.57,,,,
2,2021,105.089996,,,,
3,2021,108.529999,,,,
4,2021,110.540001,,,,
5,2021,112.849998,,,,
6,2021,112.980003,,,,
7,2021,110.260002,,,,
8,2021,112.370003,,,,
9,2021,109.190002,,,,
10,2021,113.059998,,,,
11,2021,110.309998,,,,
12,2021,114.510002,,,,
