Date,Month,Year,Price
01-12-2014,12,2014,57.029999
01-01-2015,1,2015,54.985001
01-02-2015,2,2015,58.290001
01-03-2015,3,2015,59.014999
01-04-2015,4,2015,57.654999
01-05-2015,5,2015,58.494999
01-06-2015,6,2015,58.939999
01-07-2015,7,2015,58.450001
01-08-2015,8,2015,55.415001
01-09-2015,9,2015,53.285
01-10-2015,10,2015,56.525002
01-11-2015,11,2015,58.049999
01-12-2015,12,2015,55.055
01-01-2016,1,2016,51.665001
01-02-2016,2,2016,52.23
01-03-2016,3,2016,56.285
01-04-2016,4,2016,56.959999
01-05-2016,5,2016,57.875
01-06-2016,6,2016,58.105
01-07-2016,7,2016,61.005001
01-08-2016,8,2016,61.860001
01-09-2016,9,2016,62.075001
01-10-2016,10,2016,59.334999
01-11-2016,11,2016,66.764999
01-12-2016,12,2016,68.760002
01-01-2017,1,2017,68.360001
01-02-2017,2,2017,69.459999
01-03-2017,3,2017,69.160004
01-04-2017,4,2017,69.790001
01-05-2017,5,2017,68.330002
01-06-2017,6,2017,70.110001
01-07-2017,7,2017,70.809998
01-08-2017,8,2017,69.07
01-09-2017,9,2017,74.220001
01-10-2017,10,2017,74.860001
01-11-2017,11,2017,77.480003
01-12-2017,12,2017,76.809998
01-01-2018,1,2018,78.739998
01-02-2018,2,2018,75.739998
01-03-2018,3,2018,77.010002
01-04-2018,4,2018,77.82
01-05-2018,5,2018,82.839996
01-06-2018,6,2018,83.459999
01-07-2018,7,2018,86.160004
01-08-2018,8,2018,90.309998
01-09-2018,9,2018,87.239998
01-10-2018,10,2018,78.050003
01-11-2018,11,2018,79.300003
01-12-2018,12,2018,69.32
01-01-2019,1,2019,76.690002
01-02-2019,2,2019,80.019997
01-03-2019,3,2019,77.150002
01-04-2019,4,2019,80.129997
01-05-2019,5,2019,73.169998
01-06-2019,6,2019,78.279999
01-07-2019,7,2019,79.209999
01-08-2019,8,2019,75.580002
01-09-2019,9,2019,77.839996
01-10-2019,10,2019,79.419998
01-11-2019,11,2019,81.809998
01-12-2019,12,2019,83.849998
01-01-2020,1,2020,80.480003
01-02-2020,2,2020,72.790001
01-03-2020,3,2020,56.110001
01-04-2020,4,2020,63.349998
01-05-2020,5,2020,66.139999
01-06-2020,6,2020,68.290001
01-07-2020,7,2020,71.209999
01-08-2020,8,2020,73.970001
01-09-2020,9,2020,70.230003
01-10-2020,10,2020,72.019997
01-11-2020,11,2020,85.139999
01-12-2020,12,2020,91.900002
01-01-2021,1,2021,97.57
01-02-2021,2,2021,105.089996
01-03-2021,3,2021,108.529999
01-04-2021,4,2021,110.540001
01-05-2021,5,2021,112.849998
01-06-2021,6,2021,112.980003
01-07-2021,7,2021,110.260002
01-08-2021,8,2021,112.370003
01-09-2021,9,2021,109.190002
01-10-2021,10,2021,113.059998
01-11-2021,11,2021,110.309998
01-12-2021,12,2021,114.510002
