Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,16.350000,16.559999,16.000000,16.559999,9.278148,0
2001-02-01,16.590000,16.590000,15.050000,15.140000,8.482558,0
2001-03-01,15.110000,15.300000,13.470000,14.130000,7.916680,0
2001-04-01,14.050000,15.100000,13.880000,15.100000,8.460148,0
2001-05-01,15.310000,15.360000,14.560000,14.560000,8.157599,0
2001-06-01,14.530000,14.630000,13.780000,13.940000,7.810228,0
2001-07-01,14.060000,14.060000,13.220000,13.590000,7.614132,0
2001-08-01,13.740000,13.870000,13.210000,13.210000,7.401227,0
2001-09-01,13.110000,13.110000,10.980000,12.010000,6.728899,0
2001-10-01,11.890000,12.610000,11.890000,12.230000,6.852158,0
2001-11-01,12.370000,12.800000,12.370000,12.610000,7.065063,0
2001-12-01,12.440000,12.950000,12.180000,12.540000,7.025844,0
2002-01-01,12.520000,12.710000,11.780000,11.900000,6.667268,0
2002-02-01,11.880000,12.050000,11.560000,11.990000,6.717691,0
2002-03-01,12.140000,12.820000,12.140000,12.640000,7.081871,0
2002-04-01,12.650000,12.790000,12.360000,12.680000,7.104281,0
2002-05-01,12.730000,13.010000,12.560000,12.850000,7.199529,0
2002-06-01,12.850000,12.850000,11.780000,12.330000,6.908187,0
2002-07-01,12.360000,12.370000,10.450000,11.130000,6.235857,0
2002-08-01,10.780000,11.540000,10.590000,11.100000,6.219048,0
2002-09-01,10.680000,10.970000,9.710000,9.900000,5.546719,0
2002-10-01,9.940000,10.500000,9.500000,10.470000,5.866076,0
2002-11-01,10.450000,10.920000,10.450000,10.810000,6.056568,0
2002-12-01,10.880000,10.880000,10.140000,10.350000,5.798843,0
2003-01-01,10.480000,10.700000,9.800000,9.910000,5.552322,0
2003-02-01,10.060000,10.060000,9.580000,9.710000,5.440267,0
2003-03-01,9.800000,9.910000,8.960000,9.510000,5.328212,0
2003-04-01,9.610000,10.410000,9.610000,10.410000,5.832459,0
2003-05-01,10.460000,11.110000,10.460000,11.040000,6.185433,0
2003-06-01,11.250000,11.860000,11.180000,11.300000,6.331103,0
2003-07-01,11.270000,11.710000,11.270000,11.540000,6.465569,0
2003-08-01,11.470000,11.830000,11.370000,11.720000,6.566419,0
2003-09-01,11.850000,12.450000,11.850000,12.040000,6.745708,0
2003-10-01,12.270000,12.920000,12.270000,12.750000,7.143502,0
2003-11-01,12.750000,13.080000,12.680000,13.080000,7.328393,0
2003-12-01,13.270000,13.860000,13.180000,13.860000,7.765406,0
2004-01-01,13.960000,14.410000,13.960000,13.970000,7.979310,0
2004-02-01,14.010000,14.590000,13.950000,14.280000,8.156371,0
2004-03-01,14.480000,14.480000,13.730000,14.240000,8.133526,0
2004-04-01,14.420000,14.540000,13.970000,13.970000,7.979310,0
2004-05-01,14.000000,14.320000,13.290000,14.030000,8.013579,0
2004-06-01,14.010000,14.480000,13.980000,14.290000,8.162086,0
2004-07-01,14.290000,14.310000,13.710000,13.930000,7.956461,0
2004-08-01,13.920000,13.990000,13.570000,13.940000,7.962173,0
2004-09-01,14.060000,14.350000,14.010000,14.330000,8.184932,0
2004-10-01,14.580000,14.880000,14.410000,14.830000,8.470521,0
2004-11-01,14.920000,15.840000,14.920000,15.750000,8.995999,0
2004-12-01,15.940000,16.090000,15.310000,16.080000,9.184488,0
2005-01-01,15.950000,15.950000,15.450000,15.690000,9.140591,0
2005-02-01,15.800000,16.389999,15.710000,16.389999,9.548393,0
2005-03-01,16.440001,16.660000,15.950000,16.049999,9.350319,0
2005-04-01,16.020000,16.200001,15.550000,15.730000,9.163894,0
2005-05-01,15.700000,15.980000,15.520000,15.690000,9.140591,0
2005-06-01,15.750000,16.139999,15.730000,15.880000,9.251280,0
2005-07-01,15.850000,16.469999,15.720000,16.400000,9.554220,0
2005-08-01,16.540001,17.200001,16.540001,16.969999,9.886287,0
2005-09-01,17.209999,17.620001,17.150000,17.520000,10.206703,0
2005-10-01,17.520000,17.520000,16.620001,17.090000,9.956195,0
2005-11-01,17.160000,17.600000,17.080000,17.370001,10.119318,0
2005-12-01,17.670000,18.160000,17.670000,17.780001,10.358172,0
2006-01-01,18.309999,18.860001,18.090000,18.860001,11.224677,0
2006-02-01,18.870001,18.870001,18.379999,18.730000,11.147308,0
2006-03-01,18.870001,19.469999,18.530001,19.330000,11.504404,0
2006-04-01,19.500000,20.290001,19.410000,20.290001,12.075754,0
2006-05-01,20.309999,21.020000,19.299999,19.590000,11.659142,0
2006-06-01,19.709999,19.879999,18.000000,19.570000,11.647240,0
2006-07-01,19.740000,19.940001,18.610001,19.870001,11.825790,0
2006-08-01,19.760000,20.430000,19.740000,20.400000,12.141220,0
2006-09-01,20.540001,20.590000,19.889999,20.360001,12.117414,0
2006-10-01,20.440001,21.280001,20.379999,21.139999,12.581636,0
2006-11-01,21.100000,21.690001,21.100000,21.690001,12.908974,0
2006-12-01,21.629999,22.190001,21.370001,21.570000,12.837556,0
2007-01-01,21.660000,21.930000,21.150000,21.840000,13.394221,0
2007-02-01,22.020000,22.600000,21.809999,21.809999,13.375821,0
2007-03-01,21.580000,22.459999,20.959999,22.389999,13.731531,0
2007-04-01,22.440001,23.590000,22.440001,23.260000,14.265088,0
2007-05-01,23.290001,24.010000,23.290001,24.010000,14.725060,0
2007-06-01,24.209999,24.280001,23.340000,24.020000,14.731190,0
2007-07-01,24.299999,24.889999,23.120001,23.490000,14.406148,0
2007-08-01,23.430000,23.889999,21.950001,23.400000,14.350952,0
2007-09-01,23.600000,24.770000,22.969999,24.770000,15.191154,0
2007-10-01,25.070000,25.950001,24.600000,25.950001,15.914841,0
2007-11-01,25.219999,25.520000,23.850000,24.990000,15.326079,0
2007-12-01,24.900000,25.420000,23.209999,23.900000,14.657596,0
2008-01-01,23.760000,23.809999,20.850000,22.010000,13.798662,0
2008-02-01,22.290001,22.610001,20.940001,21.900000,13.729700,0
2008-03-01,21.840000,21.900000,20.860001,21.820000,13.679545,0
2008-04-01,22.430000,23.240000,22.190001,23.100000,14.482013,0
2008-05-01,23.240000,24.010000,23.180000,23.500000,14.732783,0
2008-06-01,23.309999,23.389999,21.440001,21.600000,13.541623,0
2008-07-01,21.420000,21.420000,20.350000,20.900000,13.102774,0
2008-08-01,20.620001,20.900000,19.570000,20.000000,12.538541,0
2008-09-01,19.719999,19.719999,17.150000,17.610001,11.040183,0
2008-10-01,17.639999,17.639999,11.900000,13.950000,8.745631,0
2008-11-01,13.970000,14.860000,11.110000,13.010000,8.156322,0
2008-12-01,11.930000,13.290000,11.930000,13.210000,8.281706,0
2009-01-01,13.530000,13.530000,11.310000,11.610000,7.661706,0
2009-02-01,11.470000,12.180000,10.380000,10.380000,6.850003,0
2009-03-01,9.800000,11.770000,9.490000,11.190000,7.384538,0
2009-04-01,11.450000,12.490000,11.450000,12.490000,8.242440,0
2009-05-01,12.650000,14.230000,12.650000,14.230000,9.390704,0
2009-06-01,14.580000,14.660000,13.510000,13.940000,9.199328,0
2009-07-01,14.130000,15.340000,13.290000,15.340000,10.123221,0
2009-08-01,15.710000,16.070000,15.040000,15.980000,10.545570,0
2009-09-01,15.580000,16.950001,15.580000,16.680000,11.007520,0
2009-10-01,16.180000,17.360001,16.010000,16.260000,10.730350,0
2009-11-01,16.370001,17.430000,16.299999,16.879999,11.139503,0
2009-12-01,17.350000,17.379999,16.219999,16.620001,10.967924,0
2010-01-01,16.980000,17.260000,15.660000,15.660000,10.612140,0
2010-02-01,15.940000,16.139999,15.100000,15.720000,10.652798,0
2010-03-01,15.860000,16.820000,15.860000,16.709999,11.323681,0
2010-04-01,16.990000,17.280001,16.230000,16.280001,11.032288,0
2010-05-01,16.330000,16.330000,14.030000,14.460000,9.798948,0
2010-06-01,14.370000,15.200000,13.920000,14.200000,9.622757,0
2010-07-01,14.340000,15.820000,14.300000,15.760000,10.679905,0
2010-08-01,16.230000,16.299999,15.040000,15.180000,10.286862,0
2010-09-01,15.740000,16.790001,15.740000,16.670000,11.296576,0
2010-10-01,16.809999,17.510000,16.620001,17.309999,11.730275,0
2010-11-01,17.270000,18.030001,16.430000,16.430000,11.133937,0
2010-12-01,16.900000,17.389999,16.900000,17.230000,11.676063,0
2011-01-01,17.350000,17.879999,16.950001,17.680000,12.321905,0
2011-02-01,18.100000,18.440001,17.990000,18.389999,12.816730,0
2011-03-01,18.170000,18.420000,16.670000,17.969999,12.524017,0
2011-04-01,18.190001,19.100000,17.879999,19.100000,13.311560,0
2011-05-01,19.090000,19.090000,17.760000,18.540001,12.921276,0
2011-06-01,18.170000,18.290001,17.370001,18.290001,12.747042,0
2011-07-01,18.469999,18.469999,17.500000,17.860001,12.447354,0
2011-08-01,17.680000,17.680000,15.270000,16.330000,11.381032,0
2011-09-01,16.260000,16.260000,14.120000,14.540000,10.133512,0
2011-10-01,14.110000,16.889999,14.110000,16.020000,11.164983,0
2011-11-01,15.460000,16.040001,14.200000,15.610000,10.879236,0
2011-12-01,15.510000,15.690000,14.050000,14.610000,10.182296,0
2012-01-01,15.050000,15.600000,14.600000,15.460000,11.206083,0
2012-02-01,15.710000,16.410000,15.710000,16.240000,11.771461,0
2012-03-01,16.389999,16.540001,15.690000,16.280001,11.800456,0
2012-04-01,16.459999,16.459999,15.400000,15.930000,11.546761,0
2012-05-01,15.960000,15.960000,14.110000,14.170000,10.271037,0
2012-06-01,13.850000,14.990000,13.850000,14.650000,10.618960,0
2012-07-01,15.280000,15.410000,14.480000,15.220000,11.032122,0
2012-08-01,15.190000,15.950000,15.040000,15.710000,11.387296,0
2012-09-01,15.600000,16.760000,15.570000,16.150000,11.706226,0
2012-10-01,16.270000,16.719999,16.080000,16.320000,11.829450,0
2012-11-01,16.320000,16.709999,15.820000,16.709999,12.112138,0
2012-12-01,16.719999,17.020000,16.370001,16.780001,12.162879,0
2013-01-01,17.090000,17.530001,16.860001,17.500000,13.133879,0
2013-02-01,17.610001,17.610001,17.030001,17.260000,12.953758,0
2013-03-01,17.260000,17.780001,17.260000,17.510000,13.141385,0
2013-04-01,17.340000,18.389999,17.340000,18.389999,13.801830,0
2013-05-01,18.290001,18.830000,17.820000,17.820000,13.374042,0
2013-06-01,17.940001,18.120001,16.950001,17.340000,13.013800,0
2013-07-01,17.520000,18.520000,17.420000,18.270000,13.711771,0
2013-08-01,18.459999,18.750000,17.969999,17.969999,13.486615,0
2013-09-01,18.290001,19.680000,18.290001,19.309999,14.492295,0
2013-10-01,19.410000,20.209999,18.990000,19.920000,14.950105,0
2013-11-01,19.809999,20.049999,19.639999,20.049999,15.047673,0
2013-12-01,19.920000,19.920000,18.879999,19.879999,14.920087,0
2014-01-01,19.570000,19.930000,18.959999,18.959999,14.606935,0
2014-02-01,18.660000,20.110001,18.660000,20.110001,15.492905,0
2014-03-01,19.660000,20.219999,19.420000,19.990000,15.400455,0
2014-04-01,20.110001,20.320000,19.700001,20.320000,15.654691,0
2014-05-01,20.350000,20.629999,20.190001,20.629999,15.893517,0
2014-06-01,20.660000,20.990000,20.629999,20.809999,16.032190,0
2014-07-01,20.990000,21.090000,20.290001,20.290001,15.631578,0
2014-08-01,20.190001,20.459999,19.809999,20.350000,15.677802,0
2014-09-01,20.360001,20.510000,19.540001,19.540001,15.053774,0
2014-10-01,19.330000,19.420000,18.209999,19.420000,14.961325,0
2014-11-01,19.240000,19.639999,19.120001,19.490000,15.015251,0
2014-12-01,19.480000,19.510000,17.860001,18.120001,13.959792,0
2015-01-01,18.059999,18.500000,17.459999,18.260000,14.553287,0
2015-02-01,18.480000,19.410000,18.480000,19.370001,15.437963,0
2015-03-01,19.379999,19.610001,18.590000,19.080000,15.206832,0
2015-04-01,19.190001,20.160000,19.190001,19.820000,15.796614,0
2015-05-01,19.910000,20.320000,19.660000,19.809999,15.788643,0
2015-06-01,19.750000,20.049999,19.250000,19.250000,15.342322,0
2015-07-01,19.370001,19.770000,18.600000,19.559999,15.589390,0
2015-08-01,19.559999,19.770000,17.540001,18.139999,14.457647,0
2015-09-01,17.620001,18.219999,16.959999,17.330000,13.812074,0
2015-10-01,17.370001,18.719999,17.370001,18.490000,14.736600,0
2015-11-01,18.610001,18.610001,17.950001,18.309999,14.593138,0
2015-12-01,18.500000,18.500000,17.200001,17.480000,13.931623,0
2016-01-01,17.170000,17.170000,15.630000,16.480000,13.499002,0
2016-02-01,16.469999,16.469999,15.270000,15.950000,13.064871,0
2016-03-01,16.330000,17.129999,16.330000,17.000000,13.924942,0
2016-04-01,16.799999,17.750000,16.450001,17.389999,14.244398,0
2016-05-01,17.549999,17.549999,16.900000,17.350000,14.211635,0
2016-06-01,17.320000,17.790001,15.940000,16.910000,13.851223,0
2016-07-01,16.940001,17.620001,16.520000,17.620001,14.432793,0
2016-08-01,17.500000,17.969999,17.330000,17.709999,14.506513,0
2016-09-01,17.809999,18.180000,17.440001,17.940001,14.694911,0
2016-10-01,17.900000,17.950001,17.430000,17.520000,14.350882,0
2016-11-01,17.480000,17.480000,17.030001,17.209999,14.096955,0
